,Country,ISO3,Specie,Breed/Most common name,Language,Description,Transboundary name,Other name,Provision Uses,Regulation and Maintenance Uses,Cultural Uses,Description Of Specific Uses,Production environment/management systems,Literature related to uses and ecosystem services,Additional information,Additional information comments,Efabis cultural role comment,Efabis cultural value,Adaptability to specific environment,Specific resistance or tolerance,Specific reproductive characteristic,Special characteristic of product,Other special qualities,Reference for special qualities,Efabis genetic features,Efabis environmental role,Efabis adaptability to marginal land,Body conformation,Coat description,Coat quality,Comb type,Skin colour,Shank and foot colour,Plumage colour,Pattern within feather,Avian classification,Color comments,Efabis main colour,Efabis skin colour,Number of horns males,Number of horns females,Horn shape size and comments,Wither height males,Wither height females,Weight males,Weight females,Breed classification (adaptedness),Herdbook,Herdbook established,Domestication status,Taxonomic classification,Description of origin,Year of origin,Import,Location within country,Eggs per year AVG,Eggs per year MIN,Eggs per year MAX,Egg weight,Wool or hair,Wool type,Fleece weight AVG,Fleece weight MIN,Fleece weight MAX,Fibre diam,Management system,Feeding of adults,Mobility,Milk per year AVG,Milk per year MIN,Milk per year MAX,Lactation length (day) AVG,Lactation length (day) MIN,Lactation length (day) MAX,Milk yield per lactation (kg) AVG,Milk yield per lactation (kg) MIN,Milk yield per lactation (kg) MAX,Milk fat AVG (%),Milk fat MIN (%),Milk fat MAX (%),Milk per day (kg),Number of lactations,Efabis milk protein AVG,Efabis milk protein MIN,Efabis milk protein MAX,Birth weight males,Birth weight females,Age maturity males,Age maturity females,Age breeding males,Age breeding females,Age first parturition (month) AVG,Age first parturition (month) MIN,Age first parturition (month) MAX,Parturition interval (day) AVG,Parturition interval (day) MIN,Parturition interval (day) MAX,Length productive life (years),Daily gain,Carcass weight (kg),Dressing percentage (%),Performance data reference,Managment conditions performance measured,Comments managment conditions,Additional performance parameters,Litter size AVG,Litter size MIN,Litter size MAX,Geographical classification,Local cryo conservation status,Local Risk,Detailed local risk status,Regional Transboundary Risk (detailed),International Transboundary Risk (detailed),Young per year AVG (number),Adult weight AVG (kg),Adult weight AVG (g),Birth weight AVG (kg),Birth weight AVG (g),Young mass per year AVG (kg),Young mass per year AVG (g)
34,Afghanistan,AFG,Sheep,Baluchi,,,Baluchi,"Araghi, Farahani, Kermani, Khorasani, Mengali, Naeini, Neini, Shinwari, Taraki, Yazda, Baluchi Dumba",Wool,,,,,,,,,,well adapted to the arid range and desert areas,,birth rate of this breed is 60-75 % with 0-I % twinning,this breed is producing good quality carpet wool ,the animals are good foragers,,,,,,,,,,,,,,"multi coloured: black, white with black marks on head and legs",,,0,0,,,,,35.0,,,,domestic,breed,,,,Nimroz province and southern parts of Helmand and Kandahar and also exists in the neighbouring regions of Pakistan and Iran,,,,,wool,coarse/carpet,,,,,,,,,,,,120.0,130.0,,35.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,"N6-12 F56-55 F66-101 F55-45, 47",,,,,,,regional,No Information,unknown,unknown,unknown,,,35.0,35000.0,,,,
35,Afghanistan,AFG,Sheep,Gadik,,,,,Wool,,,Gadik produces the finest among the Afghan wools,,,,,,,,,"said to produce two lambing per year, birth rate of this breed is 65-75 % with 0-1% twinning", ,,,,,,,,,,,,,,,uni coloured: white,,,2,0/2,,,54.0,,26.5,,,,domestic,breed,indigenous breed,,,"mainly in Badakhshan Province, North-eastern Afghanistan",,,,,wool,coarse/carpet,0.75,,,,,,,,,,,120.0,130.0,32.0,30.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,N6-12,,,,1.0,,,local,No Information,unknown,unknown,,,,26.5,26500.0,,,,
36,Afghanistan,AFG,Sheep,Ghiljai,,,,"Ghaljai, Ghilzai",Wool,,,,,,,,,,,,the lambing rate is 70-75 % and twinning rate is 0-2%, ,,,,,,,,,,,,,,,uni coloured: usually white but other colours also occur,,,0/2,0,,,61.0,43.0,40.0,,,,domestic,breed,indigenous breed,,,"raised in the southern provinces of Ghazni, Paktia, Zabul and Kandahar",,,,,wool,coarse/carpet,1.7,,,,,,,,,,,120.0,130.0,40.0,30.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,N6-13,,,,1.01,,,local,No Information,unknown,unknown,,,,41.5,41500.0,,,,
37,Afghanistan,AFG,Sheep,Hazaragie,,,,,Wool,,,,,,,,,,,,, ,,,,,,,,,,,,,,,"uni coloured: usually reddish-brown, occasionally black or white with brown belly",,,0,0,,,,,32.0,,,,domestic,breed,,,,"hazarajat, central Afghanistan",,,,,wool,coarse/carpet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the region is characterized by good summer pastures but a scarcity of feed during winter when sheep have to be kept inside,,,,,local,No Information,unknown,unknown,,,,32.0,32000.0,,,,
38,Afghanistan,AFG,Sheep,Kandahari,,,,"Farah, Herat, Herati, Farahi",Wool,,,the wool is among the best qualities for carpet production in Afghanistan,,,,,,,good forager and makes efficient use of poor rangelands and desert-like areas,,lambing rate of this breed is 65-75 % with 0-2 % twinning, ,,,,,,,,,,,,,,,"uni coloured: white, brown, black occasionally with dark spots on face, legs",,,2,0,,,,,50.0,,,,domestic,breed,"similar to Ghiljai, but smaller",,,south and central western Afghanistan,,,,,wool,coarse/carpet,1.4,,,,,,,,,,,120.0,130.0,,35.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,N6-15,,,,1.01,,,local,No Information,unknown,unknown,,,,50.0,50000.0,,,,
39,Afghanistan,AFG,Sheep,Karakul,,,Karakul,"Astrakhan, Bukhara, Karakul'Skaya, Persian Lamb, Persian Lambrakhan, Karakul'",,,,,,,,,,,well adapted to the dry and hot climate conditions of northern Afghanistan,,twinning rate is 5-8%, ,,,,,,,,,,,,,,,multi coloured: black and grey,,,2,0,,,,65.0,47.5,,,,domestic,breed,,,,"kept in the Northern provinces from Badghis to Takhar, with the highest concentration in Balkh, Jawzjan and Faryab",,,,,wool,,2.5,,,,,,,,,,,120.0,130.0,45.0,,,7.5,,,,,,,,3.5,3.2,,,,,,,,,,,,,,,,,Turkmen and Uzbek are the main Karakul breeders who often keep flocks of thousand ewes or more,,1.1,,,international,No Information,unknown,unknown,,notAtRisk,,56.25,56250.0,3.35,3350.0,,
40,Afghanistan,AFG,Sheep,Marco Polo's Sheep,eng.,,Marco Polo's Sheep,"Great Pamir Sheep, Pamir Argali, Great Tibetan Sheep",,,,,,,,,,,,,, ,,R-1973 Report on the Afghan Pamir. Part 2: Biology of Marco Polo Sheep (1973),,,,,,,,,,,,,,,,0,0,,113.0,100.0,126.0,76.0,,,,feral,variety,"Ovis ammon polii, variety of Argali",,,,,,,,wool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FAO Breed Survey Roberts, T.J. (?) The Mammals of Pakistan. Heptner V.G. et al (1988) The mammals of the Soviet Union, Vol.1.",,These sheep are found from 5 000 m to 7 500 m a.s.l. in the Pamir range of mountains. The sheep are not permenant residents in Pakistan but migrate in early winter across the Khunjerab Pass into northern Hunza and from the Hindu Kush mountains across the Klick Pass further to the North-West and also into Hunza. In early spring these sheep migrate back northwards into chinese Turkistan or afghan territory and lambs are born outside Pakistan.,,,,,regional,No Information,unknown,unknown,unknown,,,101.0,101000.0,,,,
42,Afghanistan,AFG,Sheep,Turki,,,Turki,Afghani,Meat,,,,,,,,,,can live in dessert areas with poor quality feed,,lambing rate is 75-80% with 8-10% twinning, ,,,,,,,,,,,,,,,uni coloured: yellowish brown to black,,,0/2,0,,,76.0,,52.5,,,,domestic,breed,indigenous breed,,,north-eastern Afghanistan,,,,,hair,,0.9,,,,,,,,,,,130.0,140.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,N6-18,,,,1.09,,,regional,No Information,unknown,unknown,unknown,,,52.5,52500.0,,,,
45,Afghanistan,AFG,Yak,Yak,,,,,Meat,,,,,,,,,,"They are highly adaptable to high altitudes, low atmospheric pressure and low oxygen content of air. They can also graze on short grass areas grazed by sheep.",,, ,,,,,,,,,,,,,,,"uni coloured: black, brown <br>multi coloured: also white-spotted black, greyish-brown, pale yellowish",,,2,2,,125.0,109.0,425.0,275.0,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,200.0,,,600.0,,,7.5,,,,,,,,16.0,15.0,,,,,,,,,,,,,,,FAO Breed Survey,,,,,,,local,No Information,unknown,unknown,,,,350.0,350000.0,15.5,15500.0,,
56,Angola,AGO,Cattle,Humbe,,,,Humbi,Meat,,,,,,,,,,,,, ,The animals of this breed are used extensively for ceremonial purposes.,,,,,,,,,,,,,,multi coloured: spotted coat of different colours <br>comment: eighteen different types based on the coat colour,,,2,2,,128.0,122.0,515.0,410.0,,,,domestic,breed,"local sanga type, similar to Ovambo",,,"South-western Angola, Kunene and Huila Province",,,,,,,,,,,,,,,,,235.0,,,470.0,,,3.2,,,,,,,,31.5,26.5,,,,,,,,,,,,,,,FAO Breed Survey,"Performance data were taken from animals kept under transhumant conditions, housed for 7-8 months and fed on total grazing.","The animals endure a lack of water, concentrates and fodder.",,,,,local,No Information,unknown,unknown,,,,462.5,462500.0,29.0,29000.0,,
58,Angola,AGO,Cattle,Kwaniama,,,,,,,,,,,,,,,,,, ,This breed is more robust than other Angolan native cattle.,,,,,,,,,,,,,,,,,0,0,,132.0,128.0,570.0,500.0,,,,domestic,variety,,,,Kunene Province,,,,,,,,,,,,,,,,,260.0,,,650.0,,,4.0,,,,,,,,32.5,27.5,,,,,,,,,,,,,,,FAO Breed Survey This information was gathered from consultations with national terchnicans and a number of breeders.,,The animals endure a lack of shelter.,The milk yield is very difficult to determine as the farmers consider the breed as a bank i.e. they only take the amount of milk they need daily. There has been no work done on the meat quality of the breed.,,,,local,No Information,unknown,unknown,,,,535.0,535000.0,30.0,30000.0,,
60,Angola,AGO,Cattle,Mocho de Quilengues,,,,"Tshilengue, Ondango",Meat,,,,,,,,,,,,, ,,,,,,,,,,,,,,,"multi coloured: brownish with black spots, black hips and white muzzle",,,2,2,"short, white horns",128.0,116.0,475.0,397.0,,,,domestic,breed,Sanga type,,,central-eastern Angola in the municipality of Quilengues in the Province De Huile and Chongoroi in the Province of Benguela,,,,,,,,,,,,,,,,,275.0,,,520.0,,,3.0,,,,,,,,26.5,21.0,,,,,,,,,,,,,,,FAO Breed Survey,These data were collected from a number of breeders and technicians.,,,,,,local,No Information,unknown,unknown,,,,436.0,436000.0,23.75,23750.0,,
61,Angola,AGO,Cattle,Mucubai,,,,Mucubal,Meat,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,2,2,males have long horns,130.0,128.0,500.0,515.0,,,,domestic,breed,Sanga type,,,Namibe and Kunene Provinces,,,,,,,,,,,,,,,,,220.0,,,445.0,,,3.0,,,,,,,,35.5,32.5,,,,,,,,,,,,,,,FAO Breed Survey Performance data were collected from discussions with local breeders and officials in the Ministry.,,There is a lack of concentrates and insufficient water supply. The pasture is scattered around the desertic regions of the province of Namibe.,,,,,local,No Information,unknown,unknown,,,,507.5,507500.0,34.0,34000.0,,
89,Albania,ALB,Ass,Comune,alb.,,,"Local donkey, Common",DraughtPower,,,,,,,,,,Adapted to harsh field conditions.,Well resistance to diseases and low food requests.,, ,,,,,,,,,,,,,,,uni coloured: grey,,,,,,110.0,105.0,167.0,142.0,Native,,,domestic,breed,indigenous breed,,,country-wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,18.0,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,154.5,154500.0,19.5,19500.0,,
90,Albania,ALB,Buffalo,Buffaloes,alb.,,Mediterranean,,"DraughtPower, Meat, Milk",,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,0,0,,150.0,135.0,550.0,380.0,Native,n,,domestic,species,,,,low land and coastal area,,,,,,,,,,,"back yard or farm yard production, extensive (non backyard), not for production","concentrate, farm-household by-products, grazing",stationary,,,,250.0,220.0,280.0,650.0,450.0,750.0,8.6,7.3,10.2,2.8,4.0,6.0,5.8,6.3,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,international,No Information,atRisk,criticalMaintained,,notAtRisk,,465.0,465000.0,,,,
91,Albania,ALB,Cattle,Albanian Prespa Cattle,Eng,,,Mistrece,"Meat, Milk",,,,,,,,,,"Adapte to harsh environment. Easily move and grazing in the remonte mountainous terrains, like goat.",,, ,,,,,well adapted to harsh environment,,,,,,,,,,,"Color of coat: grey-grayish blue-brown-reddish brown-ochre, sometimes dark; hair coat of original type often coarse and sometime shaggy. Mucous membranes grey-black or pink",,2,0/2,"Horns short and bent front-inwards or up-inwards, colour grey or white with black tips",125.0,100.0,240.0,130.0,Native,y,2006,domestic,breed,Originate from Illyrian Dwarf Cattle,Neolitic,,,,,,,,,,,,,extensive (non backyard),"concentrate, grazing",stationary,,,,295.0,280.0,310.0,1000.0,850.0,1100.0,4.8,4.3,5.2,4.5,5.0,3.5,3.2,3.8,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,local,No Information,atRisk,endangeredMaintained,,,,185.0,185000.0,,,,
92,Albania,ALB,Cattle,Black and White,eng.,,Holstein (black and white),Laramane,Milk,,,,,,"2002: black and white cows and its crosses account for 38% of the total cattle population. <br> The local cattle population has decreased severely due to cross breeding with exotic breeds, such as Jersey, Black and White and Simental breeds.",,,,Adapted to harsh field conditions and high mountains.,,, ,,,,,,,,,,,,,,,multi coloured: white with black spots,,,2,2,,143.0,136.0,461.0,416.0,Exotic,y,,domestic,breed,"imported from the Netherland, Denmark and Germany",1965,,"black and White breed is mainly found in the coastal area, South East lowland area and in North-East areas.",,,,,,,,,,,,,,,,,317.0,,,3323.0,,,3.8,,,,,,,,35.0,32.0,,,,,,,,,,,,,,,,,Found in low and medium input production systems.,,,,,international,No Information,unknown,unknown,,notAtRisk,,438.5,438500.0,33.5,33500.0,,
94,Albania,ALB,Cattle,Busha,Alb.,,Buša,"Lopa e Lekbibajt, Lopa Gurgucka, Red of Scutary","Meat, Milk, SkinsHides",,,,,,,,,,,"Resistant to disease, well adaptability to harsh environment.",, ,,,,,"Resistant to disease, well adaptability to harsh environment.",,,,,,,,,,,"Mantle colored reddish, brown or brown opened to grey. Black colored vulva.","Reddish, brown or brown opened to grey",2,0/2,"Short, thin and back bent horns",130.0,95.0,220.0,170.0,Native,n,,domestic,breed,Originate from Ilyrian Dwarf Cattle,,,"North region of Albania, near the border with Kosovo North est region, near the border of Macedonia North east region, near the border of Montenegro",,,,,,,,,,,extensive (non backyard),"concentrate, fodder, grazing",stationary,,,,300.0,280.0,320.0,1000.0,800.0,1300.0,4.5,4.2,5.6,4.0,4.0,3.8,3.6,4.7,18.0,13.0,12.0,15.0,16.0,18.0,22.0,18.0,26.0,,,,4.0,,,,,,"Cows are managed in small herds 1-2 heads /family, low input production system is characteristic. Cows are housed in simple stable built near home. From March to November pasture cows are mainly kept in pasture, using very small intake of concentrated feed to cows at first months of lactation. They are kept in stable during the wintertime. They are fed with hey and 2-3 kg maize or bran / day. Natural mating is applied, circling bulls every year. Cows discarded after 4 lactations",,1.0,1.0,2.0,regional,No Information,atRisk,endangeredMaintained,unknown,,,195.0,195000.0,15.5,15500.0,,
97,Albania,ALB,Cattle,Jersey,eng.,,Jersey,Sukthi,Milk,,,More then 80% of local cows are crossed with Jersey and Black and White breeds.,,,"2002: Jersey cows and its crosses account for 42% of the total cattle population. Population is increasing. <br> In the year 2001 a program for the development of the Jersey breed was started in the districts of Shkodra and Malesi e Madhe, coofinanced by the Turkish Government and the Government of Albania. <br> The local cattle population has decreased severely due to cross breeding with exotic breeds, such as Jersey, Black and White and Simental breeds.",,,,Adapted to harsh field conditions.,,, ,,,,,,,,,,,,,,,uni coloured: yellow-reddish,,,2,2,,128.0,121.0,360.0,300.0,Exotic,y,,domestic,breed,continually imported,1950,"Between the '70-'80 about 40.000 heads of pregnant heifers of the race Ostfriz, Oberintal and Jersey have been imported.","country-wide, especially in the hilly and mountain areas like Shkodra and Malsi e Madhe districts in the North of the country.",,,,,,,,,,,,,,,,,304.0,,,2471.0,,,5.4,,,,,,,,25.0,22.0,,,,,,,,,,,,,,,,,Managed under low and medium input production systems.,,,,,international,No Information,unknown,unknown,,notAtRisk,,330.0,330000.0,23.5,23500.0,,
101,Albania,ALB,Cattle,Oberinntal,,,,"Grauvieh, Oberinntal, Valbona",Milk,,,,,,2002: Oberinntal account for 1.78 % of the total cattle population.,,,,Adapted to high mountains.,,, ,,,,,,,,,,,,,,,uni coloured: grey,,,2,2,,140.0,130.0,394.0,335.0,Exotic,,,domestic,breed,continually imported,1950,"Between the '70-'80 about 40.000 heads of pregnant heifers of the race Ostfriz, Oberintal and Jersey have been imported.","Devoll, Skrapar, and Tropoja regions",,,,,,,,,,,,,,,,,266.0,,,1660.0,,,4.1,,,,,,,,22.0,20.0,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,364.5,364500.0,21.0,21000.0,,
105,Albania,ALB,Cattle,Simmental,eng.,,Simmental,Lare e Kuge,Meat,,,,,,2002: Simmental account for 1 % of the total cattle population.,,,,Adapted to harsh field conditions.,,, ,,,,,,,,,,,,,,,multi coloured: white with red spots,,,2,2,,155.0,145.0,530.0,500.0,Exotic,,,domestic,breed,since 1975 imported from Austria,1975,,upper area,,,,,,,,,,,,,,,,,300.0,,,2800.0,,,,,,,,,,,45.0,40.0,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,notAtRisk,,515.0,515000.0,42.5,42500.0,,
106,Albania,ALB,Cattle,Tarentaise,fr.,,Tarentaise,Tarine,Milk,,,,,,,,,,Adapted to high mountains.,,, ,,,,,,,,,,,,,,,uni coloured: reddish,,,2,2,,150.0,140.0,500.0,450.0,Exotic,,,domestic,breed,imported from France in 1985;,1985,,,,,,,,,,,,,,,,,,,300.0,,,3000.0,,,3.9,,,,,,,,40.0,35.0,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,notAtRisk,,475.0,475000.0,37.5,37500.0,,
110,Albania,ALB,Chicken,Local Black Tropoja Lekbibaj,eng.,,,,,,,,,,,,,,,Well resistance to diseases.,, ,,,,,,,,,,,,,,indigenous,,,,,,,,,,,Native,,,domestic,breed,indigenous breed,,,"Tropoja, Lekbibaj",,80.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,,,,,,
111,Albania,ALB,Chicken,Local Tirana,eng.,,,,Eggs,,,,,,,,,,,Well resistance to diseases.,, ,,,,,,,,,,,,,,indigenous,,,,,,,,,2.1,1.6,Native,,,domestic,breed,indigenous breed,,,Tirana,,80.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,1.85,1850.0,,,,
112,Albania,ALB,Chicken,Local Tropoja Pac,eng.,,,,Eggs,,,,,,,,,,,,, ,,,,,,,,,,,,,,indigenous,,,,,,,,,,,Native,,,domestic,breed,indigenous breed,,,"Tropoja, Pac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,,,,,,
114,Albania,ALB,Goat,Alpine,eng.,,Alpine,,Milk,,,,,,2002: Alpine goats account for 1% of the total goat population.,,,,Adapted to high mountains.,,, ,,,,,,,,,,,,,,,uni coloured: brown,,,2,2,,75.0,65.0,75.0,45.0,,,,domestic,breed,imported from France,,,,,,,,,,,,,,,,,,,,280.0,,,300.0,,,,,,,,,,,2.8,2.5,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,notAtRisk,,60.0,60000.0,2.65,2650.0,,
115,Albania,ALB,Goat,Capore e Mokrres,alb.,,,,"Meat, Milk, SkinsHides",,,,,,"2002, Capore account for 3,86% of the total goat population. During last ten years the size population was decrease exponentially.",,,,Adapted to high mountains.,,, Cheese,,,,,Very well adapted to harsh environmental conditions,,,,,,,,,,uni coloured: dark brown,"White to reddish colored fleece. In face, hairs of brick-red color. In some animals, brick-red colored extremities",,2,2,Long corkscrew horns,68.0,57.0,48.0,42.0,Native,,,domestic,variety,variety of Albanian. <br>indigenous breed,,,,,,,,hair,,1.8,1.6,2.4,,extensive (non backyard),"concentrate, grazing",transhumant,,,,185.0,160.0,200.0,220.0,170.0,300.0,4.1,3.8,4.5,1.45,4.0,3.7,3.2,4.1,1.9,1.6,,,,,,,,,,,,,,,,,Extensiv system of production,Weaning weight at 65 age days 8 - 10 kg (m) 6 - 10 kg (f)  % of fertility 95  % of reproduction 100-110,1.25,1.0,3.0,local,No Information,atRisk,endangeredMaintained,,,,45.0,45000.0,1.75,1750.0,,
